filename,freq,acc_amplitude_fft_m/s/s,pos_amplitude_fft_m,Folder,MinMax_amp_Volts,datetime,rewNum,accFile,beeID,hive,IT,accFileAndFolder,dateFrozenOrMarked,treatment,MinMax_amp_acc_m/s/s
2016_10_12__10_51_41_829_220_450_test.txt,360.0,1.6516986419603008,3.2282419256145747e-07,Bee10_12Oct2016_Hive3_S_W,0.22974,2016_10_12__10_51_41_829,36,2016_10_12__10_51_41_829_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,22.58997050147493
2016_10_12__10_51_46_176_220_450_test.txt,360.0,1.056936783188543,2.065780978159493e-07,Bee10_12Oct2016_Hive3_S_W,0.2411,2016_10_12__10_51_46_176,37,2016_10_12__10_51_46_176_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,23.70698131760079
2016_10_12__10_52_12_022_220_450_test.txt,430.0,3.1606409140411333,4.329906415346783e-07,Bee10_12Oct2016_Hive3_S_W,0.35662,2016_10_12__10_52_12_022,38,2016_10_12__10_52_12_022_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,35.06588003933137
2016_10_12__10_52_20_182_220_450_test.txt,410.0,1.3422357758581258,2.0225597492123281e-07,Bee10_12Oct2016_Hive3_S_W,0.28264,2016_10_12__10_52_20_182,39,2016_10_12__10_52_20_182_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,27.79154375614553
2016_10_12__10_52_30_761_220_450_test.txt,420.0,4.844044842624446,6.955844062801455e-07,Bee10_12Oct2016_Hive3_S_W,0.4134100000000001,2016_10_12__10_52_30_761,40,2016_10_12__10_52_30_761_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,40.649950835791564
2016_10_12__10_52_37_277_220_450_test.txt,350.0,1.1730616949903594,2.4256326412634746e-07,Bee10_12Oct2016_Hive3_S_W,0.22423,2016_10_12__10_52_37_277,41,2016_10_12__10_52_37_277_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,22.04818092428712
2016_10_12__10_52_47_644_220_450_test.txt,400.0,2.1402368980364685,3.388302121625943e-07,Bee10_12Oct2016_Hive3_S_W,0.42833000000000004,2016_10_12__10_52_47_644,42,2016_10_12__10_52_47_644_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,42.11701081612586
2016_10_12__10_52_57_670_220_450_test.txt,430.0,1.8170221206914152,2.4892216329470647e-07,Bee10_12Oct2016_Hive3_S_W,0.29205,2016_10_12__10_52_57_670,43,2016_10_12__10_52_57_670_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,28.71681415929203
2016_10_12__10_52_59_661_220_450_test.txt,390.0,4.435152985866265,7.386176038179135e-07,Bee10_12Oct2016_Hive3_S_W,0.40075,2016_10_12__10_52_59_661,44,2016_10_12__10_52_59_661_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,39.40511307767945
2016_10_12__10_53_08_372_220_450_test.txt,300.0,0.7970684756274478,2.24333114984908e-07,Bee10_12Oct2016_Hive3_S_W,0.04154,2016_10_12__10_53_08_372,45,2016_10_12__10_53_08_372_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,4.084562438544739
2016_10_12__10_53_25_193_220_450_test.txt,290.0,1.1289363970931965,3.400272651914356e-07,Bee10_12Oct2016_Hive3_S_W,0.27776999999999996,2016_10_12__10_53_25_193,46,2016_10_12__10_53_25_193_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,27.312684365781713
2016_10_12__10_53_32_071_220_450_test.txt,330.0,0.9980384818650676,2.3214517975934466e-07,Bee10_12Oct2016_Hive3_S_W,0.23104,2016_10_12__10_53_32_071,47,2016_10_12__10_53_32_071_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,22.717797443461162
2016_10_12__10_53_47_049_220_450_test.txt,340.0,1.222400152803921,2.678525743223785e-07,Bee10_12Oct2016_Hive3_S_W,0.22455,2016_10_12__10_53_47_049,48,2016_10_12__10_53_47_049_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,22.079646017699112
2016_10_12__10_53_55_799_220_450_test.txt,400.0,3.0418514082100896,4.815687267874348e-07,Bee10_12Oct2016_Hive3_S_W,0.35013,2016_10_12__10_53_55_799,49,2016_10_12__10_53_55_799_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,34.42772861356932
2016_10_12__10_54_09_095_220_450_test.txt,400.0,2.5980547176331346,4.113093424346076e-07,Bee10_12Oct2016_Hive3_S_W,0.32807,2016_10_12__10_54_09_095,50,2016_10_12__10_54_09_095_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,32.25860373647984
2016_10_12__10_54_09_532_220_450_test.txt,360.0,1.627519778687618,3.180984382290607e-07,Bee10_12Oct2016_Hive3_S_W,0.36279,2016_10_12__10_54_09_532,51,2016_10_12__10_54_09_532_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,35.67256637168142
