freq,amp,datetime,visitNum,treatment_rewarded,BeeNumCol,accFile,beeID,hive,treatment,totalRewards,meanFreqRewarded,totalBuzzesNotRewarded,meanFreqUnrewarded,IT_mm,amp_acc
330.0,0.66781, 2017_05_30__09_59_22_631,74, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_59_22_631_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,65.66470009832842
360.0,0.7469899999999999, 2017_05_30__09_59_23_148,75, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_59_23_148_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,73.45034414945918
290.0,0.53574, 2017_05_30__09_59_27_456,76, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_59_27_456_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,52.67846607669617
340.0,0.7187600000000001, 2017_05_30__09_59_29_280,77, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_59_29_280_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,70.67453294001967
350.0,0.5704600000000001, 2017_05_30__09_59_33_233,78, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_59_33_233_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,56.09242871189774
280.0,0.55813, 2017_05_30__09_59_47_770,79, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__09_59_47_770_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,54.88003933136677
250.0,0.17198, 2017_05_30__10_00_12_652,80, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__10_00_12_652_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,16.910521140609635
310.0,0.5338, 2017_05_30__10_00_16_770,81, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__10_00_16_770_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,52.48770894788595
350.0,0.65645, 2017_05_30__10_00_26_293,82, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__10_00_26_293_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,64.54768928220255
310.0,0.8728899999999999, 2017_05_30__10_00_41_652,83, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__10_00_41_652_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,85.82989183874139
330.0,0.71486, 2017_05_30__10_00_48_271,84, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__10_00_48_271_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,70.29105211406096
320.0,0.61135, 2017_05_30__10_00_49_072,85, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__10_00_49_072_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,60.113077679449354
300.0,0.48285, 2017_05_30__10_00_50_273,86, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__10_00_50_273_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,47.47787610619469
